,maquina_id,linha,turno,data_registro,desconto_min,afeta,tempo_esperado_min,performance
111,TMF002,2,NOT,2023-12-07,60.0,50.0,420.0,0.11904761904761904
112,TMF002,2,MAT,2023-12-07,0.0,60.0,480.0,0.125
113,TMF002,2,VES,2023-12-07,0.0,204.0,480.0,0.425
114,TMF002,2,NOT,2023-12-08,60.0,38.0,420.0,0.09047619047619047
115,TMF002,2,MAT,2023-12-08,0.0,22.0,480.0,0.04583333333333333
116,TMF002,2,VES,2023-12-08,60.0,160.0,420.0,0.38095238095238093
117,TMF002,2,NOT,2023-12-09,0.0,102.0,480.0,0.2125
118,TMF002,2,MAT,2023-12-09,60.0,98.0,420.0,0.23333333333333334
119,TMF002,2,VES,2023-12-09,0.0,468.0,480.0,0.975
120,TMF002,2,NOT,2023-12-10,0.0,0.0,480.0,0.0
121,TMF002,2,MAT,2023-12-10,0.0,0.0,480.0,0.0
122,TMF002,2,VES,2023-12-10,0.0,0.0,480.0,0.0
123,TMF002,2,NOT,2023-12-11,0.0,90.0,480.0,0.1875
124,TMF002,2,MAT,2023-12-11,60.0,94.0,420.0,0.22380952380952382
125,TMF002,2,VES,2023-12-11,60.0,176.0,420.0,0.41904761904761906
126,TMF002,2,NOT,2023-12-12,2.0,68.0,478.0,0.14225941422594143
127,TMF002,2,MAT,2023-12-12,0.0,144.0,480.0,0.3
128,TMF002,2,VES,2023-12-12,60.0,126.0,420.0,0.3
129,TMF002,2,NOT,2023-12-13,0.0,90.0,480.0,0.1875
130,TMF002,2,MAT,2023-12-13,60.0,72.0,420.0,0.17142857142857143
131,TMF002,2,VES,2023-12-13,60.0,160.0,420.0,0.38095238095238093
132,TMF002,2,NOT,2023-12-14,0.0,122.0,480.0,0.25416666666666665
133,TMF002,2,MAT,2023-12-14,60.0,108.0,420.0,0.2571428571428571
134,TMF002,2,VES,2023-12-14,0.0,60.0,480.0,0.125
135,TMF002,2,NOT,2023-12-15,0.0,152.0,480.0,0.31666666666666665
136,TMF002,2,MAT,2023-12-15,60.0,122.0,420.0,0.2904761904761905
137,TMF002,2,VES,2023-12-15,60.0,188.0,420.0,0.44761904761904764
138,TMF002,2,NOT,2023-12-16,0.0,92.0,480.0,0.19166666666666668
139,TMF002,2,MAT,2023-12-16,60.0,114.0,420.0,0.2714285714285714
140,TMF002,2,VES,2023-12-16,0.0,0.0,480.0,0.0
141,TMF002,2,NOT,2023-12-17,0.0,0.0,480.0,0.0
142,TMF002,2,MAT,2023-12-17,0.0,0.0,480.0,0.0
143,TMF002,2,VES,2023-12-17,0.0,0.0,480.0,0.0
144,TMF002,2,NOT,2023-12-18,60.0,76.0,420.0,0.18095238095238095
145,TMF002,2,MAT,2023-12-18,0.0,146.0,480.0,0.30416666666666664
146,TMF002,2,VES,2023-12-18,60.0,136.0,420.0,0.3238095238095238
147,TMF002,2,NOT,2023-12-19,0.0,84.0,480.0,0.175
148,TMF002,2,MAT,2023-12-19,60.0,104.0,420.0,0.24761904761904763
149,TMF002,2,VES,2023-12-19,60.0,174.0,420.0,0.4142857142857143
150,TMF002,2,NOT,2023-12-20,0.0,94.0,480.0,0.19583333333333333
151,TMF002,2,MAT,2023-12-20,60.0,40.0,420.0,0.09523809523809523
152,TMF002,2,VES,2023-12-20,60.0,144.0,420.0,0.34285714285714286
153,TMF002,2,NOT,2023-12-21,0.0,230.0,480.0,0.4791666666666667
154,TMF002,2,MAT,2023-12-21,60.0,70.0,420.0,0.16666666666666666
155,TMF002,2,VES,2023-12-21,60.0,110.0,420.0,0.2619047619047619
156,TMF002,2,NOT,2023-12-22,0.0,104.0,480.0,0.21666666666666667
157,TMF002,2,MAT,2023-12-22,60.0,32.0,420.0,0.0761904761904762
158,TMF002,2,VES,2023-12-22,60.0,122.0,420.0,0.2904761904761905
159,TMF002,2,NOT,2023-12-23,0.0,116.0,480.0,0.24166666666666667
160,TMF002,2,MAT,2023-12-23,60.0,60.0,420.0,0.14285714285714285
161,TMF002,2,VES,2023-12-23,0.0,480.0,480.0,1.0
162,TMF002,2,NOT,2023-12-24,0.0,0.0,480.0,0.0
163,TMF002,2,MAT,2023-12-24,0.0,0.0,480.0,0.0
164,TMF002,2,VES,2023-12-24,0.0,0.0,480.0,0.0
165,TMF002,2,NOT,2023-12-25,0.0,0.0,480.0,0.0
166,TMF002,2,MAT,2023-12-25,0.0,0.0,480.0,0.0
167,TMF002,2,VES,2023-12-25,0.0,0.0,480.0,0.0
168,TMF002,2,NOT,2023-12-26,0.0,0.0,480.0,0.0
169,TMF002,2,MAT,2023-12-26,60.0,98.0,420.0,0.23333333333333334
170,TMF002,2,VES,2023-12-26,0.0,68.0,480.0,0.14166666666666666
171,TMF002,2,NOT,2023-12-27,0.0,148.0,480.0,0.30833333333333335
172,TMF002,2,MAT,2023-12-27,0.0,42.0,480.0,0.0875
173,TMF002,2,VES,2023-12-27,60.0,138.0,420.0,0.32857142857142857
174,TMF002,2,NOT,2023-12-28,0.0,76.0,480.0,0.15833333333333333
175,TMF002,2,MAT,2023-12-28,60.0,56.0,420.0,0.13333333333333333
176,TMF002,2,VES,2023-12-28,60.0,84.0,420.0,0.2
177,TMF002,2,NOT,2023-12-29,10.0,86.0,470.0,0.1829787234042553
178,TMF002,2,MAT,2023-12-29,60.0,34.0,420.0,0.08095238095238096
179,TMF002,2,VES,2023-12-29,0.0,480.0,480.0,1.0
180,TMF002,2,NOT,2023-12-30,0.0,0.0,480.0,0.0
181,TMF002,2,MAT,2023-12-30,0.0,0.0,480.0,0.0
182,TMF002,2,VES,2023-12-30,0.0,0.0,480.0,0.0
183,TMF002,2,NOT,2023-12-31,0.0,0.0,480.0,0.0
184,TMF002,2,MAT,2023-12-31,0.0,0.0,480.0,0.0
185,TMF002,2,VES,2023-12-31,0.0,0.0,480.0,0.0
186,TMF015,3,NOT,2023-12-01,0.0,180.0,480.0,0.375
187,TMF015,3,MAT,2023-12-01,60.0,50.0,420.0,0.11904761904761904
188,TMF015,3,VES,2023-12-01,0.0,70.0,480.0,0.14583333333333334
189,TMF015,3,NOT,2023-12-02,0.0,72.0,480.0,0.15
190,TMF015,3,MAT,2023-12-02,0.0,140.0,480.0,0.2916666666666667
191,TMF015,3,VES,2023-12-02,10.0,132.0,470.0,0.28085106382978725
192,TMF015,3,NOT,2023-12-03,60.0,14.0,420.0,0.03333333333333333
193,TMF015,3,MAT,2023-12-03,0.0,94.0,480.0,0.19583333333333333
194,TMF015,3,VES,2023-12-03,0.0,88.0,480.0,0.18333333333333332
195,TMF015,3,NOT,2023-12-04,0.0,122.0,480.0,0.25416666666666665
196,TMF015,3,MAT,2023-12-04,0.0,96.0,480.0,0.2
197,TMF015,3,VES,2023-12-04,0.0,152.0,480.0,0.31666666666666665
198,TMF015,3,NOT,2023-12-05,0.0,96.0,480.0,0.2
199,TMF015,3,MAT,2023-12-05,60.0,46.0,420.0,0.10952380952380952
200,TMF015,3,VES,2023-12-05,0.0,70.0,480.0,0.14583333333333334
201,TMF015,3,NOT,2023-12-06,0.0,82.0,480.0,0.17083333333333334
202,TMF015,3,MAT,2023-12-06,60.0,52.0,420.0,0.12380952380952381
203,TMF015,3,VES,2023-12-06,0.0,236.0,480.0,0.49166666666666664
204,TMF015,3,NOT,2023-12-07,60.0,74.0,420.0,0.1761904761904762
205,TMF015,3,MAT,2023-12-07,0.0,64.0,480.0,0.13333333333333333
206,TMF015,3,VES,2023-12-07,0.0,236.0,480.0,0.49166666666666664
207,TMF015,3,NOT,2023-12-08,60.0,62.0,420.0,0.14761904761904762
208,TMF015,3,MAT,2023-12-08,60.0,96.0,420.0,0.22857142857142856
209,TMF015,3,VES,2023-12-08,60.0,152.0,420.0,0.3619047619047619
210,TMF015,3,NOT,2023-12-09,0.0,124.0,480.0,0.25833333333333336
211,TMF015,3,MAT,2023-12-09,60.0,24.0,420.0,0.05714285714285714
212,TMF015,3,VES,2023-12-09,0.0,480.0,480.0,1.0
213,TMF015,3,NOT,2023-12-10,0.0,0.0,480.0,0.0
214,TMF015,3,MAT,2023-12-10,0.0,0.0,480.0,0.0
215,TMF015,3,VES,2023-12-10,0.0,0.0,480.0,0.0
216,TMF015,3,NOT,2023-12-11,0.0,110.0,480.0,0.22916666666666666
217,TMF015,3,MAT,2023-12-11,60.0,112.0,420.0,0.26666666666666666
218,TMF015,3,VES,2023-12-11,60.0,196.0,420.0,0.4666666666666667
219,TMF015,3,NOT,2023-12-12,0.0,60.0,480.0,0.125
220,TMF015,3,MAT,2023-12-12,0.0,92.0,480.0,0.19166666666666668
221,TMF015,3,VES,2023-12-12,60.0,112.0,420.0,0.26666666666666666
222,TMF015,3,NOT,2023-12-13,0.0,70.0,480.0,0.14583333333333334
223,TMF015,3,MAT,2023-12-13,60.0,84.0,420.0,0.2
224,TMF015,3,VES,2023-12-13,0.0,114.0,480.0,0.2375
225,TMF015,3,NOT,2023-12-14,0.0,114.0,480.0,0.2375
226,TMF015,3,MAT,2023-12-14,60.0,60.0,420.0,0.14285714285714285
227,TMF015,3,VES,2023-12-14,60.0,146.0,420.0,0.3476190476190476
228,TMF015,3,NOT,2023-12-15,0.0,140.0,480.0,0.2916666666666667
229,TMF015,3,MAT,2023-12-15,60.0,92.0,420.0,0.21904761904761905
230,TMF015,3,VES,2023-12-15,60.0,104.0,420.0,0.24761904761904763
231,TMF015,3,NOT,2023-12-16,0.0,146.0,480.0,0.30416666666666664
232,TMF015,3,MAT,2023-12-16,60.0,160.0,420.0,0.38095238095238093
233,TMF015,3,VES,2023-12-16,0.0,0.0,480.0,0.0
234,TMF015,3,NOT,2023-12-17,0.0,0.0,480.0,0.0
235,TMF015,3,MAT,2023-12-17,0.0,0.0,480.0,0.0
236,TMF015,3,VES,2023-12-17,0.0,0.0,480.0,0.0
237,TMF015,3,NOT,2023-12-18,60.0,74.0,420.0,0.1761904761904762
238,TMF015,3,MAT,2023-12-18,60.0,158.0,420.0,0.3761904761904762
239,TMF015,3,VES,2023-12-18,60.0,148.0,420.0,0.3523809523809524
240,TMF015,3,NOT,2023-12-19,0.0,180.0,480.0,0.375
241,TMF015,3,MAT,2023-12-19,0.0,138.0,480.0,0.2875
242,TMF015,3,VES,2023-12-19,60.0,182.0,420.0,0.43333333333333335
243,TMF015,3,NOT,2023-12-20,0.0,68.0,480.0,0.14166666666666666
244,TMF015,3,MAT,2023-12-20,0.0,40.0,480.0,0.08333333333333333
245,TMF015,3,VES,2023-12-20,60.0,128.0,420.0,0.3047619047619048
246,TMF015,3,NOT,2023-12-21,0.0,66.0,480.0,0.1375
247,TMF015,3,MAT,2023-12-21,60.0,88.0,420.0,0.20952380952380953
248,TMF015,3,VES,2023-12-21,60.0,80.0,420.0,0.19047619047619047
249,TMF015,3,NOT,2023-12-22,0.0,100.0,480.0,0.20833333333333334
250,TMF015,3,MAT,2023-12-22,60.0,60.0,420.0,0.14285714285714285
251,TMF015,3,VES,2023-12-22,60.0,162.0,420.0,0.38571428571428573
252,TMF015,3,NOT,2023-12-23,0.0,96.0,480.0,0.2
253,TMF015,3,MAT,2023-12-23,60.0,88.0,420.0,0.20952380952380953
254,TMF015,3,VES,2023-12-23,0.0,480.0,480.0,1.0
255,TMF015,3,NOT,2023-12-24,0.0,0.0,480.0,0.0
256,TMF015,3,MAT,2023-12-24,0.0,0.0,480.0,0.0
257,TMF015,3,VES,2023-12-24,0.0,0.0,480.0,0.0
258,TMF015,3,NOT,2023-12-25,0.0,0.0,480.0,0.0
259,TMF015,3,MAT,2023-12-25,0.0,0.0,480.0,0.0
260,TMF015,3,VES,2023-12-25,0.0,0.0,480.0,0.0
261,TMF015,3,NOT,2023-12-26,0.0,0.0,480.0,0.0
262,TMF015,3,MAT,2023-12-26,0.0,146.0,480.0,0.30416666666666664
263,TMF015,3,VES,2023-12-26,0.0,158.0,480.0,0.32916666666666666
264,TMF015,3,NOT,2023-12-27,60.0,38.0,420.0,0.09047619047619047
265,TMF015,3,MAT,2023-12-27,60.0,114.0,420.0,0.2714285714285714
266,TMF015,3,VES,2023-12-27,60.0,138.0,420.0,0.32857142857142857
267,TMF015,3,NOT,2023-12-28,0.0,72.0,480.0,0.15
268,TMF015,3,MAT,2023-12-28,60.0,96.0,420.0,0.22857142857142856
269,TMF015,3,VES,2023-12-28,60.0,98.0,420.0,0.23333333333333334
270,TMF015,3,NOT,2023-12-29,0.0,74.0,480.0,0.15416666666666667
271,TMF015,3,MAT,2023-12-29,60.0,92.0,420.0,0.21904761904761905
272,TMF015,3,VES,2023-12-29,0.0,480.0,480.0,1.0
273,TMF015,3,NOT,2023-12-30,0.0,0.0,480.0,0.0
274,TMF015,3,MAT,2023-12-30,0.0,0.0,480.0,0.0
275,TMF015,3,VES,2023-12-30,0.0,0.0,480.0,0.0
276,TMF015,3,NOT,2023-12-31,0.0,0.0,480.0,0.0
277,TMF015,3,MAT,2023-12-31,0.0,0.0,480.0,0.0
278,TMF015,3,VES,2023-12-31,0.0,0.0,480.0,0.0
279,TMF011,4,NOT,2023-12-01,0.0,164.0,480.0,0.3416666666666667
280,TMF011,4,MAT,2023-12-01,0.0,134.0,480.0,0.2791666666666667
281,TMF011,4,VES,2023-12-01,0.0,64.0,480.0,0.13333333333333333
282,TMF011,4,NOT,2023-12-02,0.0,88.0,480.0,0.18333333333333332
283,TMF011,4,MAT,2023-12-02,0.0,22.0,480.0,0.04583333333333333
284,TMF011,4,VES,2023-12-02,0.0,80.0,480.0,0.16666666666666666
285,TMF011,4,NOT,2023-12-03,60.0,28.0,420.0,0.06666666666666667
286,TMF011,4,MAT,2023-12-03,0.0,0.0,480.0,0.0
287,TMF011,4,VES,2023-12-03,0.0,72.0,480.0,0.15
288,TMF011,4,NOT,2023-12-04,0.0,178.0,480.0,0.37083333333333335
289,TMF011,4,MAT,2023-12-04,0.0,44.0,480.0,0.09166666666666666
290,TMF011,4,VES,2023-12-04,0.0,156.0,480.0,0.325
291,TMF011,4,NOT,2023-12-05,0.0,114.0,480.0,0.2375
292,TMF011,4,MAT,2023-12-05,0.0,42.0,480.0,0.0875
293,TMF011,4,VES,2023-12-05,0.0,90.0,480.0,0.1875
294,TMF011,4,NOT,2023-12-06,0.0,34.0,480.0,0.07083333333333333
295,TMF011,4,MAT,2023-12-06,60.0,172.0,420.0,0.4095238095238095
296,TMF011,4,VES,2023-12-06,60.0,150.0,420.0,0.35714285714285715
297,TMF011,4,NOT,2023-12-07,0.0,120.0,480.0,0.25
298,TMF011,4,MAT,2023-12-07,0.0,34.0,480.0,0.07083333333333333
299,TMF011,4,VES,2023-12-07,0.0,190.0,480.0,0.3958333333333333
300,TMF011,4,NOT,2023-12-08,60.0,78.0,420.0,0.18571428571428572
301,TMF011,4,MAT,2023-12-08,60.0,84.0,420.0,0.2
302,TMF011,4,VES,2023-12-08,60.0,182.0,420.0,0.43333333333333335
303,TMF011,4,NOT,2023-12-09,0.0,130.0,480.0,0.2708333333333333
304,TMF011,4,MAT,2023-12-09,60.0,22.0,420.0,0.05238095238095238
305,TMF011,4,VES,2023-12-09,0.0,480.0,480.0,1.0
306,TMF011,4,NOT,2023-12-10,0.0,0.0,480.0,0.0
307,TMF011,4,MAT,2023-12-10,0.0,0.0,480.0,0.0
308,TMF011,4,VES,2023-12-10,0.0,0.0,480.0,0.0
309,TMF011,4,NOT,2023-12-11,0.0,104.0,480.0,0.21666666666666667
310,TMF011,4,MAT,2023-12-11,60.0,376.0,420.0,0.8952380952380953
311,TMF011,4,VES,2023-12-11,60.0,180.0,420.0,0.42857142857142855
312,TMF011,4,NOT,2023-12-12,0.0,94.0,480.0,0.19583333333333333
313,TMF011,4,MAT,2023-12-12,0.0,88.0,480.0,0.18333333333333332
314,TMF011,4,VES,2023-12-12,60.0,126.0,420.0,0.3
315,TMF011,4,NOT,2023-12-13,0.0,144.0,480.0,0.3
316,TMF011,4,MAT,2023-12-13,60.0,60.0,420.0,0.14285714285714285
317,TMF011,4,VES,2023-12-13,0.0,84.0,480.0,0.175
318,TMF011,4,NOT,2023-12-14,0.0,124.0,480.0,0.25833333333333336
319,TMF011,4,MAT,2023-12-14,0.0,48.0,480.0,0.1
320,TMF011,4,VES,2023-12-14,60.0,170.0,420.0,0.40476190476190477
321,TMF011,4,NOT,2023-12-15,0.0,130.0,480.0,0.2708333333333333
322,TMF011,4,MAT,2023-12-15,60.0,118.0,420.0,0.28095238095238095
323,TMF011,4,VES,2023-12-15,60.0,80.0,420.0,0.19047619047619047
324,TMF011,4,NOT,2023-12-16,0.0,148.0,480.0,0.30833333333333335
325,TMF011,4,MAT,2023-12-16,60.0,54.0,420.0,0.12857142857142856
326,TMF011,4,VES,2023-12-16,0.0,0.0,480.0,0.0
327,TMF011,4,NOT,2023-12-17,0.0,0.0,480.0,0.0
328,TMF011,4,MAT,2023-12-17,0.0,0.0,480.0,0.0
329,TMF011,4,VES,2023-12-17,0.0,0.0,480.0,0.0
330,TMF011,4,NOT,2023-12-18,60.0,8.0,420.0,0.01904761904761905
331,TMF011,4,MAT,2023-12-18,60.0,148.0,420.0,0.3523809523809524
332,TMF011,4,VES,2023-12-18,60.0,178.0,420.0,0.4238095238095238
333,TMF011,4,NOT,2023-12-19,0.0,196.0,480.0,0.4083333333333333
334,TMF011,4,MAT,2023-12-19,0.0,132.0,480.0,0.275
335,TMF011,4,VES,2023-12-19,60.0,192.0,420.0,0.45714285714285713
336,TMF011,4,NOT,2023-12-20,0.0,388.0,480.0,0.8083333333333333
337,TMF011,4,MAT,2023-12-20,0.0,186.0,480.0,0.3875
338,TMF011,4,VES,2023-12-20,60.0,146.0,420.0,0.3476190476190476
339,TMF011,4,NOT,2023-12-21,0.0,44.0,480.0,0.09166666666666666
340,TMF011,4,MAT,2023-12-21,60.0,68.0,420.0,0.1619047619047619
