,maquina_id,linha,turno,data_registro,desconto_min,afeta,tempo_esperado_min,reparo
153,TMF002,2,NOT,2023-12-21,0.0,0.0,480.0,0.0
154,TMF002,2,MAT,2023-12-21,0.0,36.0,480.0,0.075
155,TMF002,2,VES,2023-12-21,0.0,0.0,480.0,0.0
156,TMF002,2,NOT,2023-12-22,0.0,0.0,480.0,0.0
157,TMF002,2,MAT,2023-12-22,0.0,16.0,480.0,0.03333333333333333
158,TMF002,2,VES,2023-12-22,0.0,0.0,480.0,0.0
159,TMF002,2,NOT,2023-12-23,0.0,0.0,480.0,0.0
160,TMF002,2,MAT,2023-12-23,0.0,0.0,480.0,0.0
161,TMF002,2,VES,2023-12-23,0.0,0.0,480.0,0.0
162,TMF002,2,NOT,2023-12-24,0.0,0.0,480.0,0.0
163,TMF002,2,MAT,2023-12-24,0.0,0.0,480.0,0.0
164,TMF002,2,VES,2023-12-24,0.0,0.0,480.0,0.0
165,TMF002,2,NOT,2023-12-25,0.0,0.0,480.0,0.0
166,TMF002,2,MAT,2023-12-25,0.0,0.0,480.0,0.0
167,TMF002,2,VES,2023-12-25,0.0,0.0,480.0,0.0
168,TMF002,2,NOT,2023-12-26,0.0,0.0,480.0,0.0
169,TMF002,2,MAT,2023-12-26,0.0,8.0,480.0,0.016666666666666666
170,TMF002,2,VES,2023-12-26,0.0,0.0,480.0,0.0
171,TMF002,2,NOT,2023-12-27,0.0,0.0,480.0,0.0
172,TMF002,2,MAT,2023-12-27,0.0,216.0,480.0,0.45
173,TMF002,2,VES,2023-12-27,0.0,0.0,480.0,0.0
174,TMF002,2,NOT,2023-12-28,0.0,0.0,480.0,0.0
175,TMF002,2,MAT,2023-12-28,0.0,2.0,480.0,0.004166666666666667
176,TMF002,2,VES,2023-12-28,0.0,0.0,480.0,0.0
177,TMF002,2,NOT,2023-12-29,0.0,0.0,480.0,0.0
178,TMF002,2,MAT,2023-12-29,0.0,0.0,480.0,0.0
179,TMF002,2,VES,2023-12-29,0.0,0.0,480.0,0.0
180,TMF002,2,NOT,2023-12-30,0.0,0.0,480.0,0.0
181,TMF002,2,MAT,2023-12-30,0.0,0.0,480.0,0.0
182,TMF002,2,VES,2023-12-30,0.0,0.0,480.0,0.0
183,TMF002,2,NOT,2023-12-31,0.0,0.0,480.0,0.0
184,TMF002,2,MAT,2023-12-31,0.0,0.0,480.0,0.0
185,TMF002,2,VES,2023-12-31,0.0,0.0,480.0,0.0
186,TMF015,3,NOT,2023-12-01,0.0,0.0,480.0,0.0
187,TMF015,3,MAT,2023-12-01,0.0,40.0,480.0,0.08333333333333333
188,TMF015,3,VES,2023-12-01,0.0,0.0,480.0,0.0
189,TMF015,3,NOT,2023-12-02,0.0,0.0,480.0,0.0
190,TMF015,3,MAT,2023-12-02,0.0,0.0,480.0,0.0
191,TMF015,3,VES,2023-12-02,0.0,0.0,480.0,0.0
192,TMF015,3,NOT,2023-12-03,0.0,0.0,480.0,0.0
193,TMF015,3,MAT,2023-12-03,0.0,28.0,480.0,0.058333333333333334
194,TMF015,3,VES,2023-12-03,0.0,0.0,480.0,0.0
195,TMF015,3,NOT,2023-12-04,0.0,0.0,480.0,0.0
196,TMF015,3,MAT,2023-12-04,0.0,210.0,480.0,0.4375
197,TMF015,3,VES,2023-12-04,0.0,0.0,480.0,0.0
198,TMF015,3,NOT,2023-12-05,0.0,0.0,480.0,0.0
199,TMF015,3,MAT,2023-12-05,0.0,8.0,480.0,0.016666666666666666
200,TMF015,3,VES,2023-12-05,0.0,0.0,480.0,0.0
201,TMF015,3,NOT,2023-12-06,0.0,0.0,480.0,0.0
202,TMF015,3,MAT,2023-12-06,0.0,72.0,480.0,0.15
203,TMF015,3,VES,2023-12-06,0.0,0.0,480.0,0.0
204,TMF015,3,NOT,2023-12-07,0.0,0.0,480.0,0.0
205,TMF015,3,MAT,2023-12-07,0.0,12.0,480.0,0.025
206,TMF015,3,VES,2023-12-07,0.0,0.0,480.0,0.0
207,TMF015,3,NOT,2023-12-08,0.0,0.0,480.0,0.0
208,TMF015,3,MAT,2023-12-08,0.0,24.0,480.0,0.05
209,TMF015,3,VES,2023-12-08,0.0,0.0,480.0,0.0
210,TMF015,3,NOT,2023-12-09,0.0,0.0,480.0,0.0
211,TMF015,3,MAT,2023-12-09,0.0,14.0,480.0,0.029166666666666667
212,TMF015,3,VES,2023-12-09,0.0,0.0,480.0,0.0
213,TMF015,3,NOT,2023-12-10,0.0,0.0,480.0,0.0
214,TMF015,3,MAT,2023-12-10,0.0,0.0,480.0,0.0
215,TMF015,3,VES,2023-12-10,0.0,0.0,480.0,0.0
216,TMF015,3,NOT,2023-12-11,0.0,0.0,480.0,0.0
217,TMF015,3,MAT,2023-12-11,0.0,0.0,480.0,0.0
218,TMF015,3,VES,2023-12-11,0.0,0.0,480.0,0.0
219,TMF015,3,NOT,2023-12-12,0.0,0.0,480.0,0.0
220,TMF015,3,MAT,2023-12-12,0.0,4.0,480.0,0.008333333333333333
221,TMF015,3,VES,2023-12-12,0.0,0.0,480.0,0.0
222,TMF015,3,NOT,2023-12-13,0.0,8.0,480.0,0.016666666666666666
223,TMF015,3,MAT,2023-12-13,0.0,0.0,480.0,0.0
224,TMF015,3,VES,2023-12-13,0.0,0.0,480.0,0.0
225,TMF015,3,NOT,2023-12-14,0.0,12.0,480.0,0.025
